"activity","time","p","p_peak","p_smooth"
"Using cardiovascular equipment",1440,0.000105711585377682,0.0793164504532879,0.0793164504532879
"Using cardiovascular equipment",1445,7.60810626681444e-05,0.0570843755298118,0.0597670724086069
"Using cardiovascular equipment",1450,5.7176895154451e-05,0.0429003912427208,0.0463726380451157
"Using cardiovascular equipment",1455,5.21559780461672e-05,0.0391331473628146,0.0392157366333488
"Using cardiovascular equipment",1460,4.74652815670263e-05,0.035613671294511,0.0279642216561695
"Using cardiovascular equipment",1465,1.2189424862692e-05,0.00914584631118306,0.0236526724421779
"Using cardiovascular equipment",1470,3.49169046796636e-05,0.0261984997208396,0.0174656664805597
"Using cardiovascular equipment",1475,2.27274798169716e-05,0.0170526534096565,0.0201012688467176
"Using cardiovascular equipment",1480,2.27274798169716e-05,0.0170526534096565,0.0183098656592463
"Using cardiovascular equipment",1485,2.77542516644577e-05,0.0208242901584257,0.019567077908836
"Using cardiovascular equipment",1490,2.77542516644577e-05,0.0208242901584257,0.0208242901584257
"Using cardiovascular equipment",1495,2.77542516644577e-05,0.0208242901584257,0.0208242901584257
"Using cardiovascular equipment",1500,2.77542516644577e-05,0.0208242901584257,0.0220894407802996
"Using cardiovascular equipment",1505,3.28127638853978e-05,0.0246197420240474,0.0233545914021735
"Using cardiovascular equipment",1510,3.28127638853978e-05,0.0246197420240474,0.028590363485999
"Using cardiovascular equipment",1515,4.86886895204497e-05,0.0365316064099023,0.0268767671447318
"Using cardiovascular equipment",1520,2.59612097034781e-05,0.0194789530002458,0.0251631708034646
"Using cardiovascular equipment",1525,2.59612097034781e-05,0.0194789530002458,0.0194789530002458
"Using cardiovascular equipment",1530,2.59612097034781e-05,0.0194789530002458,0.0169565901287821
"Using cardiovascular equipment",1535,1.58759256350519e-05,0.0119118643858549,0.0144342272573185
"Using cardiovascular equipment",1540,1.58759256350519e-05,0.0119118643858549,0.0119118643858549
"Using cardiovascular equipment",1545,1.58759256350519e-05,0.0119118643858549,0.0119118643858549
"Using cardiovascular equipment",1550,1.58759256350519e-05,0.0119118643858549,0.00794124292390328
"Using cardiovascular equipment",1555,0,0,0.00397062146195164
"Using cardiovascular equipment",1560,0,0,0
"Using cardiovascular equipment",1565,0,0,0
"Using cardiovascular equipment",1570,0,0,0.00057323822217167
"Using cardiovascular equipment",1575,2.29200579142933e-06,0.00171971466651501,0.00114647644434334
"Using cardiovascular equipment",1580,2.29200579142933e-06,0.00171971466651501,0.00171971466651501
"Using cardiovascular equipment",1585,2.29200579142933e-06,0.00171971466651501,0.00171971466651501
"Using cardiovascular equipment",1590,2.29200579142933e-06,0.00171971466651501,0.00171971466651501
"Using cardiovascular equipment",1595,2.29200579142933e-06,0.00171971466651501,0.00171971466651501
"Using cardiovascular equipment",1600,2.29200579142933e-06,0.00171971466651501,0.00338250661028996
"Using cardiovascular equipment",1605,8.94042632179114e-06,0.00670809049783987,0.00504529855406492
"Using cardiovascular equipment",1610,8.94042632179114e-06,0.00670809049783987,0.00670809049783987
"Using cardiovascular equipment",1615,8.94042632179114e-06,0.00670809049783987,0.0116241707600832
"Using cardiovascular equipment",180,2.85966250824152e-05,0.0214563312845699,0.0172908089675393
"Using cardiovascular equipment",185,3.15976168005072e-05,0.0237080051202081,0.0229574471749954
"Using cardiovascular equipment",190,3.15976168005072e-05,0.0237080051202081,0.0223034107595672
"Using cardiovascular equipment",195,2.59815600117574e-05,0.0194942220382853,0.0203255781767545
"Using cardiovascular equipment",200,2.36895542203281e-05,0.0177745073717703,0.0183477455939419
"Using cardiovascular equipment",205,2.36895542203281e-05,0.0177745073717703,0.0200789199946968
"Using cardiovascular equipment",210,3.29033973893707e-05,0.0246877452405499,0.0216327746724106
"Using cardiovascular equipment",215,2.99024056712787e-05,0.0224360714049117,0.024085180843871
"Using cardiovascular equipment",220,3.34951270703552e-05,0.0251317258861515,0.0256292626173849
"Using cardiovascular equipment",225,3.90771733701958e-05,0.0293199905610917,0.0279239023361116
"Using cardiovascular equipment",230,3.90771733701958e-05,0.0293199905610917,0.0258085046594893
"Using cardiovascular equipment",235,2.50370313983214e-05,0.0187855328562845,0.0488476619167362
"Using cardiovascular equipment",240,0.000131195737382222,0.0984374623328326,0.0769745722510021
"Using cardiovascular equipment",245,0.0001515383437662,0.113700721563889,0.108153983042543
"Using cardiovascular equipment",250,0.000149703160319092,0.112323765230908,0.121027887465117
"Using cardiovascular equipment",255,0.000182670084963341,0.137059175600555,0.128445288458495
"Using cardiovascular equipment",260,0.000181195692799502,0.135952924544021,0.136321674896199
"Using cardiovascular equipment",265,0.000181195692799502,0.135952924544021,0.156070596858192
"Using cardiovascular equipment",270,0.000261633143881313,0.196305941486535,0.183403954174931
"Using cardiovascular equipment",275,0.000290483962224093,0.217952996494236,0.214916206205416
"Using cardiovascular equipment",280,0.000307192636759781,0.230489680635478,0.2463539682076
"Using cardiovascular equipment",285,0.000387332250799907,0.290619227493085,0.275766687015831
"Using cardiovascular equipment",290,0.00040808624211875,0.306191152918929,0.291390159518435
"Using cardiovascular equipment",295,0.000369660713857894,0.27736009814329,0.346779431728012
"Using cardiovascular equipment",300,0.000608797826152606,0.456787044121818,0.392364552341462
"Using cardiovascular equipment",305,0.000590351409387622,0.442946514759277,0.457316439686765
"Using cardiovascular equipment",310,0.00062936095051643,0.472215760179201,0.497197391989845
"Using cardiovascular equipment",315,0.000768255744537894,0.576429901031059,0.550898050105135
"Using cardiovascular equipment",320,0.000805065318270952,0.604048489105145,0.58437829619334
"Using cardiovascular equipment",325,0.00076322661921161,0.572656498443817,0.635065255112163
"Using cardiovascular equipment",330,0.00097091983583272,0.728490777787528,0.647096375484869
"Using cardiovascular equipment",335,0.000853169922090212,0.640141850223262,0.666388775090428
"Using cardiovascular equipment",340,0.000840364342964557,0.630533697260493,0.674027187909113
"Using cardiovascular equipment",345,0.00100146086701419,0.751406016243583,0.690816071446445
"Using cardiovascular equipment",350,0.000920297717849223,0.690508500835259,0.69448883967604
"Using cardiovascular equipment",355,0.000855049347779691,0.641552001949278,0.777353500928179
"Using cardiovascular equipment",360,0.00133278260403167,1,0.845070587535483
"Using cardiovascular equipment",365,0.00119105418292698,0.89365976065717,0.943901942700963
"Using cardiovascular equipment",370,0.00125021148047197,0.93804606744572,0.935773347299862
"Using cardiovascular equipment",375,0.00130028165239427,0.975614213796697,0.926510901879849
"Using cardiovascular equipment",380,0.00115401970454722,0.865872424397129,0.880987568274984
"Using cardiovascular equipment",385,0.0010681933591537,0.801476066631127,0.876277843773767
"Using cardiovascular equipment",390,0.00128145053573926,0.961485040293044,0.878891122746177
"Using cardiovascular equipment",395,0.00116446850280895,0.873712261314358,0.887732246480708
"Using cardiovascular equipment",400,0.00110354324689412,0.827999437834722,0.854161405811984
"Using cardiovascular equipment",405,0.00114722263840128,0.860772518286872,0.815569358213616
"Using cardiovascular equipment",410,0.00101016407372975,0.757936118519253,0.775235057476473
"Using cardiovascular equipment",415,0.000942272683789383,0.706996535623293,0.765264840952448
"Using cardiovascular equipment",420,0.00110735824497633,0.830861868714796,0.729832255208193
"Using cardiovascular equipment",425,0.000868492272042337,0.651638361286488,0.722816996581292
"Using cardiovascular equipment",430,0.000914223239807234,0.685950759742591,0.672679251746589
"Using cardiovascular equipment",435,0.000906890102613117,0.680448634210689,0.674708271039922
"Using cardiovascular equipment",440,0.000876604996894531,0.657725419166485,0.66487306994174
"Using cardiovascular equipment",445,0.000874898685014803,0.656445156448045,0.705448952898336
"Using cardiovascular equipment",450,0.00106912659545645,0.802176283080477,0.711856448263946
"Using cardiovascular equipment",455,0.000902224391970629,0.676947905263317,0.726788159338795
"Using cardiovascular equipment",460,0.00093460085932176,0.701240289672591,0.692341107030163
"Using cardiovascular equipment",465,0.000931395299225102,0.69883512615458,0.687723825248387
"Using cardiovascular equipment",470,0.00088376289346064,0.66309605991799,0.668047454316074
"Using cardiovascular equipment",475,0.000855927884654578,0.642211176875654,0.717045148725633
"Using cardiovascular equipment",480,0.00112730512346526,0.845828209383256,0.744358848195625
"Using cardiovascular equipment",485,0.000992972563976701,0.745037158327964,0.802897896813061
"Using cardiovascular equipment",490,0.00108998736161623,0.817828322727964,0.781965627387769
"Using cardiovascular equipment",495,0.00104361062980646,0.783031401107379,0.765435847177465
"Using cardiovascular equipment",500,0.000926880753438422,0.695447817697053,0.720706501751019
"Using cardiovascular equipment",505,0.000911143881193957,0.683640286448626,0.715852770071744
"Using cardiovascular equipment",510,0.00102420372236613,0.768470206069553,0.724987238027373
"Using cardiovascular equipment",515,0.000963403533403463,0.72285122156394,0.731745734017907
"Using cardiovascular equipment",520,0.000938166698850761,0.703915774420227,0.726318701173075
"Using cardiovascular equipment",525,0.00100250455746483,0.752189107535058,0.730423643774267
